stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
125,,"Chambers Cres opp Osborn Rd",, -12.397744, 130.905823,,,0
126,,"3 Paqualin Road",, -12.399510, 130.908205,,,0
127,,"7 Koolinda Crescent",, -12.398408, 130.910500,,,0
128,,"46 Karama Crescent",, -12.399582, 130.912088,,,0
129,,"20 Karama Crescent",, -12.400405, 130.914191,,,0
130,,"Kalymnos Dr at Karama Shops",, -12.401703, 130.915887,,,0
131,,"46 Koolinda Crescent",, -12.399281, 130.915147,,,0
132,,"24 Livistona Road",, -12.396355, 130.913331,,,0
133,,"12 Calytrix Rd",, -12.395311, 130.910841,,,0
134,,"69 Mueller Rd",, -12.393471, 130.909612,,,0
135,,"58 Dalwood Crescent",, -12.391840, 130.909037,,,0
136,,"Dalwood Cres after Wescombe Ct",, -12.389183, 130.906530,,,0
137,,"14 Dalwood Crescent",, -12.388463, 130.904288,,,0
138,,"Malak Cres before Patterson St",, -12.388668, 130.901517,,,0
139,,"43 Patterson Street",, -12.387091, 130.902233,,,0
140,,"142 Vanderlin Drive Service Road",, -12.381959, 130.899753,,,0
141,,"116 Vanderlin Dve Service Road",, -12.380222, 130.897482,,,0
142,,"96 Vanderlin Dve Service Rd opp Shops",, -12.378537, 130.895025,,,0
143,,"58 Vanderlin Dve",, -12.377553, 130.889606,,,0
144,,"28 Vanderlin Dve",, -12.376925, 130.885815,,,0
148,,"Forrest Pde before McAulay St",, -12.511667, 130.988461,,,0
149,,"128 Trower Rd, opp Iris St",, -12.383718, 130.871045,,,0
150,,"Trower Rd at Water Gardens",, -12.384849, 130.867071,,,0
151,,"opp 49 Rapid Creek Road",, -12.387489, 130.864642,,,0
1511,,"Farrar Blvd before Nutwood Cres",, -12.479489, 130.995961,,,0
1512,,"137 Farrar Blvd",, -12.484515, 131.002489,,,0
1513,,"Farrar Blvd before Henry Rd",, -12.488015, 131.003938,,,0
1514,,"Farrar Blvd after George Park",, -12.493544, 131.005915,,,0
1515,,"Farrar Blvd before MacKillop Ct",, -12.496908, 131.007021,,,0
1516,,"Zuccoli Schools",, -12.511973, 131.007402,,,0
1518,,"Sattler Crescent",, -12.540627, 131.054352,,,0
1519,,"Farrar Blvd after Kettle St",, -12.478489, 130.994190,,,0
152,,"Rapid Creek Rd opp Robinson Rd",, -12.390099, 130.866825,,,0
1520,,"93 Farrar Blvd",, -12.479743, 131.001912,,,0
1521,,"129 Zuccoli Parade",, -12.511648, 131.007518,,,0
1523,,"Nichols St. Durack Heights",, -12.471540, 130.974088,,,0
153,,"18 Rapid Creek Road",, -12.393154, 130.868885,,,0
1538,,"Chong Wee Ave before Trochus Cres",, -12.436017, 130.850613,,,0
154,,"opp 195 McMillans Service Road",, -12.395210, 130.866797,,,0
1543,,"Tuckeroo Blvd opp Hamster Wheel Park",, -12.507492, 131.003607,,,0
1548,,"Tiwi Gardens at Seniors Village",, -12.361738, 130.879637,,,0
1549,,"RDH opp Alan Walker Centre",, -12.353995, 130.883015,,,0
155,,"Sabine Rd before Tong Luck St",, -12.393491, 130.861330,,,0
1556,,"Zuccoli Pde at Oatgrass St",, -12.515221, 131.008680,,,0
1557,,"Silverleaf Rd after Billygoat St",, -12.518344, 131.005737,,,0
1558,,"Silverleaf Rd after Vitex St",, -12.517965, 131.009018,,,0
156,,"19 Robinson Road",, -12.391326, 130.862841,,,0
1561,,"33 Baldwin Drive",, -12.500266, 130.979010,,,0
1562,,"69 Sibblald Crescent",, -12.502140, 130.983969,,,0
157,,"33 Ryland Road",, -12.389764, 130.862643,,,0
158,,"55 Ryland Road",, -12.387285, 130.861517,,,0
159,,"11 Cummins Street",, -12.386488, 130.857442,,,0
160,,"Francis St before Trower Rd",, -12.386764, 130.859099,,,0
161,,"7 Alawa Crescent",, -12.382012, 130.872261,,,0
162,,"33 Alawa Crescent",, -12.379816, 130.873052,,,0
163,,"Alawa Cres after Eric St",, -12.378190, 130.875168,,,0
164,,"5 Scriven Street",, -12.377259, 130.876602,,,0
166,,"Trower Rd at Rapid Creek Shops",, -12.386320, 130.862187,,,0
167,,"18 Trower Rd after Sabine Rd",, -12.388083, 130.858118,,,0
168,,"Bagot Rd after Harris St",, -12.394086, 130.856148,,,0
169,,"Trower Rd after McMillans Rd",, -12.400990, 130.856230,,,0
170,,"Bagot Rd opp 169",, -12.411910, 130.856279,,,0
171,,"Bagot Rd opp Mosec Park",, -12.420680, 130.856305,,,0
172,,"Bagot Rd opp Ludmilla Primary",, -12.424017, 130.856319,,,0
173,,"Stuart Hwy after Woolner Rd",, -12.433913, 130.847515,,,0
174,,"Stuart Hwy opp Parap Rd",, -12.436649, 130.843019,,,0
175,,"Stuart Hwy before Westralia St",, -12.444486, 130.841202,,,0
176,,"Stuart Hwy after King St",, -12.449647, 130.841134,,,0
177,,"30 Daly St",, -12.457283, 130.836728,,,0
178,,"Mitchell St cnr Brigg St",, -12.460942, 130.837650,,,0
179,,"Mitchell St, Hilton Hotel",, -12.464934, 130.841785,,,0
181,,"Stuart Hwy before Shiers St",, -12.428021, 130.859693,,,0
182,,"Stuart Hwy before Winnellie Shops",, -12.426929, 130.862015,,,0
183,,"383 Stuart Highway",, -12.425424, 130.867095,,,0
184,,"Hickman St after Winnellie Rd",, -12.427119, 130.870603,,,0
185,,"8 Sweet Street",, -12.429621, 130.872596,,,0
186,,"Coonawarra Rd after Menmuir St",, -12.430282, 130.879201,,,0
187,,"Catterthun St before Downes St",, -12.429717, 130.882289,,,0
188,,"15 Albatross Street",, -12.428548, 130.884681,,,0
189,,"Mataram St before Winnellie Rd",, -12.427381, 130.890394,,,0
190,,"Winnellie Rd before Hook Rd",, -12.426552, 130.893637,,,0
191,,"Stuart Hwy at Aviation Museum",, -12.426072, 130.897242,,,0
192,,"Stuart Hwy opp Farrell Cres",, -12.426378, 130.900938,,,0
193,,"Stuart Hwy at Berrimah Business Park",, -12.429718, 130.913647,,,0
194,,"Stuart Hwy opp Hidden Valley Rd",, -12.431421, 130.918231,,,0
195,,"Stuart Hwy before Vanderlin Drive",, -12.432879, 130.922213,,,0
196,,"Vanderlin Dve after Stuart Hwy",, -12.430859, 130.923284,,,0
197,,"680 Vanderlin Drive",, -12.421515, 130.923247,,,0
198,,"Vanderlin Dve before Boulter Rd",, -12.415664, 130.923240,,,0
199,,"Vanderlin Drive after Boulter Rd",, -12.413506, 130.923170,,,0
200,,"McMillans Rd after Vanderlin Dve",, -12.408746, 130.920154,,,0
