shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10012,-12.363550,130.875812,130008,5.561
10012,-12.363709,130.876445,130009,5.632
10012,-12.364051,130.876366,130010,5.671
10012,-12.364439,130.876271,130011,5.715
10012,-12.365247,130.876053,130012,5.808
10012,-12.365247,130.876053,140001,5.808
10012,-12.365448,130.875999,140002,5.831
10012,-12.365932,130.875872,140003,5.886
10012,-12.366017,130.875851,140004,5.896
10012,-12.365600,130.874204,140005,6.081
10012,-12.365383,130.873353,140006,6.176
10012,-12.365248,130.872855,140007,6.233
10012,-12.365248,130.872855,150001,6.233
10012,-12.365159,130.872526,150002,6.270
10012,-12.365135,130.872428,150003,6.281
10012,-12.365054,130.872073,150004,6.320
10012,-12.364884,130.871366,150005,6.399
10012,-12.364988,130.871342,150006,6.411
10012,-12.365341,130.871260,150007,6.451
10012,-12.365714,130.871173,150008,6.494
10012,-12.365975,130.871162,150009,6.522
10012,-12.366643,130.871232,150010,6.597
10012,-12.367046,130.871285,150011,6.642
10012,-12.367046,130.871285,160001,6.642
10012,-12.367591,130.871356,160002,6.702
10012,-12.367512,130.872138,160003,6.788
10012,-12.367511,130.872313,160004,6.807
10012,-12.367552,130.872585,160005,6.837
10012,-12.367640,130.872927,160006,6.875
10012,-12.367773,130.873447,160007,6.934
10012,-12.367816,130.873629,160008,6.954
10012,-12.366724,130.873912,160009,7.079
10012,-12.366724,130.873912,170001,7.079
10012,-12.365600,130.874204,170002,7.207
10012,-12.365516,130.874226,170003,7.217
10012,-12.365932,130.875872,170004,7.402
10012,-12.366100,130.876480,170005,7.470
10012,-12.366194,130.876443,170006,7.481
10012,-12.366937,130.876257,170007,7.566
10012,-12.368391,130.875878,170008,7.732
10012,-12.368608,130.875820,170009,7.757
10012,-12.368717,130.875791,170010,7.769
10012,-12.369062,130.875699,170011,7.809
10012,-12.369506,130.875586,170012,7.859
10012,-12.369506,130.875586,180001,7.859
10012,-12.369696,130.875538,180002,7.881
10012,-12.370132,130.875432,180003,7.931
10012,-12.370337,130.875442,180004,7.954
10012,-12.370568,130.875529,180005,7.981
10012,-12.370905,130.875762,180006,8.026
10012,-12.371535,130.876164,180007,8.108
10012,-12.371717,130.875892,180008,8.144
10012,-12.371782,130.875761,180009,8.160
10012,-12.371811,130.875704,180010,8.167
10012,-12.371833,130.875630,180011,8.175
10012,-12.371846,130.875541,180012,8.185
10012,-12.371855,130.875441,180013,8.196
10012,-12.371850,130.875311,180014,8.210
